price,rooms,area,market,building_type,building_material,year_built,heating,kitchen_type,property_condition,form_of_ownership,district_result,distance_from_center,floor_of_flat,balconies,parking,basement_storage_unit,lift,smart home,air conditioning,rooms_to_area_ratio
950000,2,48.38,Secondary,Apartment building,"Mixed construction, other",2017.0,Central city heating,Kitchenette,8.0,4.0,Podgórze,3.6,2,Yes,Yes,No_data,No_data,No_data,No_data,0.0413393964448119
999000,3,65.0,Secondary,Other/ No data,Brick,2019.0,Central city heating,Kitchenette,7.0,4.0,Dębniki,4.5,3,Yes,Yes,No_data,No_data,No_data,Yes,0.046153846153846156
821754,3,57.87,Primary,Other/ No data,No data,2026.0,Other/ no data,Other/ no data,5.859567901234568,3.7804203539823007,Prądnik Biały,3.6,4,Yes,No_data,Yes,Yes,No_data,No_data,0.05184033177812338
847230,3,54.66,Primary,Apartment building,No data,2024.0,Central city heating,Kitchenette,5.0,4.0,Dębniki,4.5,1,Yes,No_data,No_data,No_data,No_data,Yes,0.054884742041712405
419000,1,23.4,Secondary,Apartment building,"Mixed construction, other",1970.0,Central city heating,Kitchenette,8.0,2.0,Grzegórzki,1.15,7,No_data,No_data,Yes,Yes,No_data,No_data,0.042735042735042736
1465000,6,126.12,Secondary,Apartment building,No data,2023.0,Heat pump,Kitchenette,5.0,4.0,Prądnik Biały,3.6,1,Yes,Yes,No_data,No_data,No_data,No_data,0.047573739295908656
755000,3,55.03,Secondary,Other/ No data,No data,1950.0,Central city heating,Kitchenette,1.0,3.7804203539823007,Nowa Huta,12.9,0,No_data,No_data,Yes,No_data,No_data,No_data,0.05451571869889151
1399000,3,67.89,Secondary,Multi-family building,Brick,2015.0,Gas heating,Kitchenette,10.0,4.0,Zwierzyniec,5.4,2,Yes,Yes,No_data,No_data,No_data,Yes,0.04418912947414936
620000,2,39.0,Secondary,Apartment building,Brick,2010.0,Central city heating,Kitchenette,3.0,4.0,Bieńczyce,5.9,4,Yes,No_data,No_data,Yes,No_data,No_data,0.05128205128205128
977000,3,53.0,Primary,Apartment building,No data,2025.0,Central city heating,Other/ no data,5.859567901234568,3.7804203539823007,Podgórze,3.6,1,Yes,No_data,No_data,No_data,No_data,No_data,0.05660377358490566
1105542,3,62.46,Primary,Apartment building,"Mixed construction, other",2026.0,Central city heating,Kitchenette,8.0,3.0,Łagiewniki-Borek Fałęcki,3.5,6,Yes,Yes,Yes,Yes,No_data,No_data,0.04803073967339097
819000,3,60.2,Secondary,Apartment building,Large slab,1986.0,Central city heating,Separate kitchen,9.0,4.0,Prądnik Czerwony,2.7,1,Yes,No_data,Yes,No_data,No_data,No_data,0.04983388704318937
855966,3,51.72,Primary,Apartment building,Brick,2024.0,Central city heating,Kitchenette,5.0,4.0,Prądnik Biały,3.6,4,Yes,No_data,No_data,Yes,Yes,No_data,0.0580046403712297
706410,2,42.3,Primary,Apartment building,Brick,2024.0,Central city heating,Kitchenette,5.0,4.0,Prądnik Biały,3.6,1,Yes,No_data,No_data,Yes,Yes,No_data,0.047281323877068564
1002040,2,42.64,Secondary,Tenement,"Mixed construction, other",2002.136017628205,Other/ no data,Kitchenette,5.0,4.0,Stare Miasto,0.4,0,No_data,No_data,Yes,No_data,No_data,No_data,0.04690431519699812
999000,3,51.9,Secondary,Apartment building,No data,1970.0,Other/ no data,Kitchenette,5.859567901234568,3.7804203539823007,Krowodrza,1.6,4,Yes,Yes,Yes,Yes,No_data,No_data,0.057803468208092484
539000,2,32.73,Secondary,Apartment building,No data,1964.0,Central city heating,Separate kitchen,9.0,4.0,Krowodrza,1.6,1,Yes,No_data,Yes,No_data,No_data,No_data,0.06110601894286588
